[2022-01-25 05:03:58,265: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:08,265: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:18,265: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:28,266: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:38,266: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:48,267: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:04:58,289: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:08,289: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:18,290: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:28,291: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:38,291: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:48,291: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:05:58,292: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:08,293: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:18,294: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:28,294: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:38,295: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:48,295: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:06:58,295: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:08,296: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:18,296: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:28,296: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:38,296: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:48,297: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:07:58,318: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:08,318: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:18,318: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:28,318: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:38,319: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:48,319: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:08:58,319: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:08,319: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:18,319: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:28,320: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:38,320: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:48,320: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:09:58,320: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:08,320: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:18,321: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:28,321: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:38,321: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:48,321: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:10:58,348: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:08,348: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:18,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:28,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:38,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:48,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:11:58,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:08,349: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:18,350: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:28,351: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:38,351: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:48,351: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
[2022-01-25 05:12:58,352: INFO/MainProcess] Scheduler: Sending due task jobs.tasks.current_weather('Los Angeles') (jobs.tasks.current_weather)
